,代码,板块,股价,当日涨跌%,相对强弱RS,最近支撑位,距支撑%,支撑验证次数,5日动量%,量能趋势,在均线上方,52周位置%,财报日,财报在窗口内,连续信号,到期日,剩余天数,行权价,虚值幅度%,期权参考价,隐含波动率%,IV百分位,行权价OI,行权价成交量,量OI比,OI集中倍数,OI日变化%,OI连续增长天,OI有历史数据,认沽认购比,综合评分,信号解读
1,QQQ,其他,603.31,0.49,-0.17,606.07,0.46,3,-0.73,0.83,False,24.3,未知,False,True,2026-05-15,59,660.0,9.4,1.54,16.0,50.0,9028,5753,0.637,7.5,0.0,0,False,1.55,103.91,股价紧贴支撑位$606.07(已验证3次)，均线下方⚠️，处于52周低位，OI数据积累中(明日起显示净变化)；OI集中8倍；当日成交极活跃；看涨情绪偏弱⚠️，🔄连续多日命中(信号持续)，关注 660.0C 2026-05-15，参考价约$1.54。
2,AMD,科技,196.31,-0.14,-0.81,196.6,0.15,1,-3.41,0.75,False,7.8,2026-05-05,False,True,2026-04-17,31,200.0,1.9,9.68,49.2,50.0,7157,6289,0.879,3.0,0.0,0,False,0.98,103.51,股价紧贴支撑位$196.6(已验证1次)，均线下方⚠️，近5日跌3.4%⚠️，处于52周低位，OI数据积累中(明日起显示净变化)；OI集中3倍；当日成交极活跃，🔄连续多日命中(信号持续)，关注 200.0C 2026-04-17，参考价约$9.68。
3,TLT,其他,87.45,0.28,-0.85,86.23,1.41,3,-0.94,0.97,False,31.5,未知,False,True,2026-04-17,31,92.0,5.2,0.12,12.5,50.0,72395,27952,0.386,8.6,0.0,0,False,0.61,102.78,股价距支撑位1.4%(已验证3次)，均线下方⚠️，OI数据积累中(明日起显示净变化)；OI集中9倍；当日成交活跃，🔄连续多日命中(信号持续)，关注 92.0C 2026-04-17，参考价约$0.12。
4,NVDA,科技,181.93,-0.7,-1.36,182.8,0.48,1,-1.53,0.88,False,42.5,2026-05-20,False,True,2026-04-17,31,200.0,9.9,1.52,32.2,50.0,61549,19140,0.311,7.3,0.0,0,False,0.84,101.32,股价紧贴支撑位$182.8(已验证1次)，均线下方⚠️，OI数据积累中(明日起显示净变化)；OI集中7倍；当日成交活跃，🔄连续多日命中(信号持续)，关注 200.0C 2026-04-17，参考价约$1.52。
5,JD,消费,28.54,0.18,1.75,28.54,0.0,2,2.92,0.88,True,58.8,2026-05-07,False,True,2026-04-10,24,30.0,5.1,0.43,34.9,50.0,1080,735,0.68,2.9,0.0,0,False,0.47,97.38,股价紧贴支撑位$28.54(已验证2次)，均线上方✅，近5日涨2.9%，强于大盘(RS=1.75)，OI数据积累中(明日起显示净变化)；当日成交极活跃；看涨情绪强，🔄连续多日命中(信号持续)，关注 30.0C 2026-04-10，参考价约$0.43。
6,GOOGL,科技,310.92,1.75,1.09,312.78,0.59,1,1.26,0.78,True,27.9,2026-04-23,False,False,2026-04-17,31,320.0,2.9,6.35,27.7,50.0,6741,3498,0.519,3.0,0.0,0,False,0.66,94.7,股价距支撑位0.6%(已验证1次)，均线上方✅，处于52周低位，OI数据积累中(明日起显示净变化)；OI集中3倍；当日成交极活跃，关注 320.0C 2026-04-17，参考价约$6.35。
7,TSLA,消费,399.27,0.94,-1.24,396.49,0.7,3,0.01,0.98,False,8.3,2026-04-21,False,True,2026-04-17,31,425.0,6.4,8.1,37.4,50.0,3814,1781,0.467,2.1,0.0,0,False,0.65,93.23,股价距支撑位0.7%(已验证3次)，均线下方⚠️，处于52周低位，OI数据积累中(明日起显示净变化)；当日成交活跃，🔄连续多日命中(信号持续)，关注 425.0C 2026-04-17，参考价约$8.10。
8,IWM,其他,250.05,0.45,-2.24,246.16,1.58,1,-1.31,1.07,False,16.5,未知,False,True,2026-03-31,14,265.0,6.0,0.42,20.9,50.0,8137,4922,0.605,8.5,0.0,0,False,2.91,93.17,股价距支撑位1.6%(已验证1次)，均线下方⚠️，处于52周低位，OI数据积累中(明日起显示净变化)；OI集中8倍；当日成交极活跃；看涨情绪偏弱⚠️，🔄连续多日命中(信号持续)，关注 265.0C 2026-03-31，参考价约$0.42。
9,AVGO,科技,321.31,-1.11,-1.55,322.61,0.4,2,-6.21,1.05,False,28.5,2026-06-03,False,False,2026-04-17,31,360.0,12.0,3.62,40.1,50.0,7260,5006,0.689,3.4,0.0,0,False,0.89,90.43,股价紧贴支撑位$322.61(已验证2次)，均线下方⚠️，近5日跌6.2%⚠️，处于52周低位，OI数据积累中(明日起显示净变化)；OI集中3倍；当日成交极活跃，关注 360.0C 2026-04-17，参考价约$3.62。
10,INTC,科技,44.06,-3.72,-1.31,43.07,2.3,3,-5.81,1.07,False,43.5,2026-04-23,False,False,2026-04-17,31,47.0,6.7,1.9,58.6,50.0,15789,9627,0.61,2.0,0.0,0,False,0.77,85.66,股价距支撑位2.3%(已验证3次)，均线下方⚠️，近5日跌5.8%⚠️，OI数据积累中(明日起显示净变化)；当日成交极活跃，关注 47.0C 2026-04-17，参考价约$1.90。
